Brand,Model,Selling_Price,Original_MRP,Discount_Percentage,Customer_Rating,Availability,Specifications,Image_Source
Lenovo,Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,178990,220000,18,4.5,Available,Intel Core i7 Processor (14th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | Office Home 2024 + Lenovo AI Now | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo V 14 (2025) Intel Core i5 13th Gen 1335U - (24 GB/512 GB SSD/Windows 11 Pro) V 14 Thin and Ligh...,64990,99990,35,0,Available,"Intel Core i5 Processor (13th Gen) | 24 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office 2021, Windows 11 Pro | 1 Year Warranty",No Image Link
Lenovo,Lenovo IdeaPad 5i Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 83KX004RIN 2 in 1...,105990,135000,21,0,Available,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | Office Home 2024 | 1 Year Warranty and Only 6 Months Warranty on Battery and Adaptor,No Image Link
Lenovo,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics...,79990,110490,27,4,Available,AMD Ryzen 5 Hexa Core Processor | 16 GB DDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo V15 Octa Core (2026) Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Pro) V15 Thin ...,57990,75000,22,0,Available,"Intel Core i5 Processor (13th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office 2021, Windows 11 Pro | 1 Year",No Image Link
Lenovo,Lenovo Ideapad Slim 1 AMD Ryzen 5 Hexa Core 5th Gen 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC7 T...,46990,49990,6,0,Available,AMD Ryzen 5 Hexa Core Processor (5th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | Office Home and Student 2024 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo IdeaPad 1 1315U Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 83B40004IN Laptop,48500,54390,10,0,Available,"Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | WINDOWS 11 , OFFICE H&S | 1 YEAR",No Image Link
Lenovo,Lenovo AMD Ryzen 7 Dual Core - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX NVIDIA...,132499,132590,0,0,Available,AMD Ryzen 7 Dual Core Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 39.62 cm (15.6 inch) Display | 1 YEAR,No Image Link
Lenovo,Lenovo LOQ Intel Core i5 13th Gen 13450HX - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,104990,125000,16,4.3,Available,Intel Core i5 Processor (13th Gen) | 24 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo LOQ 15IRX9. Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,104990,125000,16,3.7,Available,Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Office Home 2024 | 1 Year Warranty and Only 6 Months Warranty on Battery and Adaptor,No Image Link
Lenovo,Lenovo Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin and Light Laptop,59990,79999,25,0,Available,Intel Core i5 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | 1 Year Warranty,No Image Link
Lenovo,Lenovo Ideapad Gaming 3 AMD Ryzen 5 4600H - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,79990,83990,4,0,Available,AMD Ryzen 5 Processor | 12 GB LPDDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | OFFICE H&S 2024 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop,59525,59999,0,0,Available,Intel Core i5 Processor (12th Gen) | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | 2 Yr Warranty,No Image Link
Lenovo,Lenovo V15 Octa Core (2026) Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin...,55990,94990,41,0,Available,"Intel Core i5 Processor (13th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office 2021, Windows 11 Home | 1 Year",No Image Link
Lenovo,Lenovo IdeaPad Slim 3 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) 15ABR8 Thin and ...,69890,69890,0,4,Available,AMD Ryzen 5 Hexa Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite,No Image Link
Lenovo,Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windo...,59990,97290,38,4.4,Available,Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo Legion 5 Pro Intel Core i7 12th Gen 12700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVID...,279890,279890,0,4.2,Available,Intel Core i7 Processor (12th Gen) | 32 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 40.64 cm (16 Inch) Display | 3 Years Onsite Warranty + 1 Year Accidental Damage Protection + 3 Years Legion Ultimate Support,No Image Link
Lenovo,Lenovo Yoga Pro 7 Creator Intel Evo Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/6 ...,181890,181890,0,0,Available,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 1 TB SSD | 36.83 cm (14.5 Inch) Display | 1 Yr Onsite Warranty + 1 Yr Premium Care,No Image Link
Lenovo,Lenovo Yoga Slim 6 WUXGA OLED Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH...,87990,136090,35,4.6,Available,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR5X RAM | Windows 11 Operating System | 512 GB SSD | 35.31 cm (13.9 Inch) Display | 1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,No Image Link
Lenovo,Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7/ 15IGL7 Thin...,23990,37690,36,3.9,Available,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,28138,37690,25,4,Available,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 256 GB SSD | 35.56 cm (14 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,49838,89990,44,4.1,Available,Intel Core i7 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Yoga 7 OLED Intel Evo Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 14IRL8 ...,162326,162690,0,4.5,Available,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 36.07 cm (14.2 Inch) Touchscreen Display | Microsoft Office Home & Student 2021 | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo IdeaPad Slim Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 82X700E0IN Laptop,37900,58190,34,0,Available,Intel Core i3 Processor (13th Gen) | 8 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year warranty,No Image Link
